pid;sex;age;sess1_scanner;sess1_msit1_con_err;sess1_msit1_incon_err;sess1_msit1_con_rt;sess1_msit1_incon_rt;sess1_msit2_con_err;sess1_msit2_incon_err;sess1_msit2_con_rt;sess1_msit2_incon_rt;sess2_days_between_scans;sess2_scanner;sess2_msit1_con_err;sess2_msit1_incon_err;sess2_msit1_con_rt;sess2_msit1_incon_rt;sess2_msit2_con_err;sess2_msit2_incon_err;sess2_msit2_con_rt;sess2_msit2_incon_rt
27223;20;F;s1;0;0;652.83;958.66;0;3;541.15;814.66;;;;;;;;;;
27224;40;M;s1;0;11;580.06;974.19;0;2;521.88;859.86;183;s1;0;2;639.2;917.28;0;3;534.86;813.77
27225;26;F;s2;0;12;549.85;889.04;1;1;496.1;783.13;168;s2;1;1;640.81;855.12;4;6;613.75;840.44
27226;36;M;s2;4;12;690;1166.85;0;4;608.2;1075.34;96;s2;0;1;676.62;1034.57;0;3;588.05;961.37
27227;20;M;s2;2;5;470.4;818.74;0;9;416.64;718.56;180;s2;1;1;490.39;763;0;3;468.72;746.51
27228;25;M;s2;1;4;504.25;962.47;0;2;456.41;840.97;89;s2;0;2;550.19;844.71;0;2;507.47;819.81
27229;48;F;s2;;;;;;;;;;;;;;;;;;
27230;20;M;s2;0;0;597.08;852.56;1;1;487.99;773.33;;;;;;;;;;
27231;20;F;s1;2;15;597.36;1016.49;1;8;567.81;905.97;53;s1;1;8;516.03;894.67;1;1;521.86;850.63
27232;23;F;s1;0;12;495.66;987.54;1;10;494.49;917.32;;;;;;;;;;
27233;22;F;s1;1;8;583.21;1085.11;6;15;581.58;941.61;;;;;;;;;;
27234;21;F;s3;0;8;717.61;1015.26;1;6;525.92;921.89;;;;;;;;;;
27235;24;F;s2;0;11;671.77;1072.31;1;6;574.98;947.71;;;;;;;;;;
27236;29;M;s3;0;1;625.73;984.7;0;1;587.18;913.21;;;;;;;;;;
27237;20;M;s3;0;0;529.18;846.3;0;2;496.7;819.26;;;;;;;;;;
27238;20;M;s3;0;10;699.72;1241.65;7;5;626.76;1018.86;;;;;;;;;;
27239;40;F;s1;0;2;725.42;1068.73;0;1;733.06;1007.96;;;;;;;;;;
27240;40;M;s2;0;5;555.06;832.19;0;0;526.75;759.65;141;s2;9;7;634.34;894.97;7;12;645.98;819.54
27241;27;M;s2;0;3;637.9;1051.09;1;4;557.75;916.81;149;s2;0;2;590.34;1023.92;1;12;577.32;980.3
27242;26;M;s1;0;7;712.05;1169.48;3;7;540.28;1036.96;;;;;;;;;;
27243;36;M;s1;0;9;623.82;1019.83;0;4;615.66;953.95;51;s1;0;2;659.6;950.14;0;1;634.08;888.03
27244;22;F;s1;;;;;;;;;;;;;;;;;;
27245;39;M;s1;;;;;;;;;;;;;;;;;;
27246;21;F;s1;0;3;507.63;868.08;0;3;530.21;839.89;;;;;;;;;;
27247;22;M;s2;2;9;699.21;1169.29;0;1;521.19;960.09;;;;;;;;;;
27248;23;F;s3;3;1;753.68;1050.91;0;0;741.93;993.92;60;s3;0;3;598.64;909.2;0;2;560.96;829.21
27249;26;F;s3;;;;;;;;;;;;;;;;;;
27250;33;F;s2;0;5;769.89;1055.21;0;4;647.1;902.34;143;s2;0;5;729.41;1097.4;0;2;704.4;985.05
27251;26;M;s3;;;;;;;;;122;s3;;;;;;;;
27252;32;F;s2;0;0;695.21;997.78;0;0;642.59;892.16;124;s2;4;7;739.92;1024.08;9;15;679.97;916.78
27253;22;M;s2;;;;;;;;;;;;;;;;;;
27254;19;F;s1;0;20;913.34;1262.33;2;3;680.88;1203.42;;;;;;;;;;
27255;22;F;s3;;;;;;;;;;;;;;;;;;
27256;33;M;s3;2;14;660.68;1183.2;0;11;605.42;1032.2;57;s3;0;5;531.44;926.28;0;4;537.33;900.6
27257;40;F;s1;;;;;;;;;;;;;;;;;;
27258;21;M;s2;;;;;;;;;;;;;;;;;;
